Raw Text,Dataset's label,Codes level 1,Codes level 2,Evidences,Is Match,Note (Nếu có)
i'm so honey right now you read that right. i'm a beekeeper motherfucker 🐝,Normal,Normal,Normal_Expressive,"- i'm so honey right now
- i'm a beekeeper motherfucker 🐝",1,"Câu văn mang sắc thái hài hước, gây bất ngờ (wordplay giữa ""honey"" và ""beekeeper"") và thể hiện cá tính mạnh mẽ, thô ráp một cách bông đùa (""motherfucker""). Hoàn toàn không có bất kỳ dấu hiệu hay bằng chứng nào liên quan đến trầm cảm, lo âu hay ý định tự tử."
Alright I fucking admit it I’m an emo fuckkk ksjsjsbdbkdksbsbjejdnfn,Normal,Normal,Normal_Expressive,"- I fucking admit it
- emo fuckkk
- ksjsjsbdbkdksbsbjejdnfn",1,"Mặc dù câu sử dụng các từ ngữ mạnh bạo (""fucking"", ""fuckkk"") và tự nhận là ""emo"", cấu trúc và ngữ cảnh thể hiện sự bộc lộ cảm xúc cường điệu, mang tính giải trí hoặc tự trào (nhận diện qua chuỗi ký tự vô nghĩa ""ksjsjsb..."" biểu thị việc cười trừ hoặc phấn khích). Không có dấu hiệu lâm sàng thực tế của trầm cảm, lo âu hay tự tử."
"Congratulations to my friends who don't ask me to make tiktok, boomerangs, hands free videos when they are busy, don't ask me to do a tiktok, hands-free video...Just a formal photo after that.",Normal,Normal,Normal_Expressive,"- Congratulations to my friends who don't ask me to make tiktok, boomerangs, hands free videos
- Just a formal photo after that.",1,"Câu này thể hiện một lời chia sẻ mang tính bày tỏ quan điểm cá nhân (Expressive) về thói quen chụp ảnh/quay video khi đi chơi cùng bạn bè. Không có bất kỳ dấu hiệu, từ ngữ hoặc ngữ cảnh nào cho thấy sự bất ổn về tâm lý, lo âu, trầm cảm hay ý định tự tử."
"I sent dobi last week Thursday. Arini is not ready anymore. First, the raya clothes. Arrghh xde2. Everyone pays the same. Where can I cut the que? I won't be leaving for the new raya to make",Normal,Normal,Normal_Expressive,"- I sent dobi last week Thursday.
- Arini is not ready anymore.
- First, the raya clothes.
- Arrghh xde2.
- Everyone pays the same.
- Where can I cut the que?
- I won't be leaving for the new raya to make",1,"Câu này thể hiện sự bực bội, bất mãn thường nhật (Expressive) khi đi giặt ủi đồ chuẩn bị cho lễ Raya nhưng chưa xong và không được ưu tiên cắt hàng. Cụm ""Arrghh xde2"" (tiếng lóng Malaysia/Indonesia thể hiện sự bất lực, bực dọc) và các câu hỏi mang tính phàn nàn thuần túy, không có dấu hiệu lâm sàng của trầm cảm, lo âu hay tự tử."
"Sometimes, when I want to say ""missed"" I like to remember that I am nothing. Whether you want it or not, you are missing it (again).",Normal,Depression,Depression_Hopelessness,"- remember that I am nothing
- Whether you want it or not, you are missing it (again).",0,"Câu nói tràn ngập cảm giác bất lực và bi quan về tương lai khi người viết tin rằng việc bỏ lỡ hay thất bại là điều định sẵn, dù cố gắng cũng không thể xoay chuyển (Whether you want it or not). Sự buông xuôi này đi kèm với cái nhìn tiêu cực, triệt tiêu giá trị bản thân."
,,,,,,
i've been meaning to apply for a job for over a year now but i never got the guts to do it (even though my family desperately needs the money) because all of the available jobs in my field (translating) were in call centers where i'd have to make dozens of calls per day (and i'm also a full time student). i have pretty bad anxiety and i'm most scared of making a fool out of myself in front of my coworkers/boss/clients.. but yesterday i finally sent in my application and just now i got off the phone with an employee from the company. those were quite the painful 8 minutes and i thought i messed up bc my voice kept trembling and i was sweating bullets but i have an interview!!!! on thursday!!!!!!! (unfortunately it's still in sales so if you have any advice for getting over phone anxiety then please tell me 🥺) my heart is still beating crazy fast but i did it..even if i don't get hired at least i tried my best 😭😭😭😭,Anxiety,Anxiety,Anxiety_Emotional,"- i have pretty bad anxiety and i'm most scared of making a fool out of myself
- if you have any advice for getting over phone anxiety then please tell me 🥺
- my heart is still beating crazy fast but i did it",1,"Dù bài đăng thể hiện hoàn cảnh khó khăn của gia đình và cảm giác căng thẳng cực độ khi gọi điện (đổ mồ hôi, giọng run rẩy), nhưng tông giọng chủ đạo lại hướng về nỗi sợ giao tiếp, chứng lo âu xã hội, và sự nhẹ nhõm kèm lo lắng khi vừa vượt qua thử thách để chuẩn bị cho buổi phỏng vấn."
How do you guys accept it's anxiety and not a serious health issue? So I've had following symptoms.... Headaches Palpitations Rapid heart at rest Dizziness Feeling faint never actually fainted Feeling weak and sick Constant adrenaline surges or like dropping sensations Does anyone else have or had all of that? Been on and off for me for 2 years now. Had a million heart and blood tests all normal. Been doing therapy but I think my biggest problem is I just cannot convince myself this is all anxiety and constantly wondering if it's a serious heart issue or something.,Anxiety,Anxiety,Anxiety_Uncertainty,"- How do you guys accept it's anxiety and not a serious health issue?
- Does anyone else have or had all of that?
- I just cannot convince myself this is all anxiety and constantly wondering if it's a serious heart issue or something.",1,"Dù người viết liệt kê hàng loạt triệu chứng thể chất (somatic), cốt lõi của văn bản lại nằm ở sự nghi ngờ, mất phương hướng và bất lực trong việc tự trấn an. Họ liên tục dằn vặt, không thể chấp nhận chẩn đoán y khoa và luôn băn khoăn về một căn bệnh tiềm ẩn nghiêm trọng."
"Does anyone by any chance know what a Pedriatric does for constipation? Im 15 years old and have had constipation for months,GP referred me to Pediatric in hospital to see what they think i should do... have no idea what to expect or if they will check me out? Im just worried they will check me like how they do for hemorrhoids..:/",Anxiety,Anxiety,Anxiety_Uncertainty,"- have no idea what to expect or if they will check me out?
- Im just worried they will check me like how they do for hemorrhoids..:/",1,"Người viết (15 tuổi) thể hiện sự lo lắng, bất an rõ rệt xuất phát từ việc thiếu thông tin về quy trình khám bệnh sắp tới (""không biết nên mong đợi điều gì""). Nỗi sợ hãi cụ thể về việc bị kiểm tra cơ thể xâm lấn như khám trĩ (:/) phản ánh tâm lý lo âu do những điều chưa biết trước (Uncertainty)."
"Shaft Ring too tight...worried Used a rubber ring, the kind that just goes around the penis shaft that I purchased for erection quality (a problem also caused by anxiety) but it was way too tight and very painful so I took it off as quickly as possible. Could intense squeezing like this for a minute cause any permanent damage? I didn't have any noticeable bruising or pain after and the doctor didn't see anything wrong but I am still worried. Any thoughts would be appreciated",Anxiety,Anxiety,Anxiety_Uncertainty,"- Could intense squeezing like this for a minute cause any permanent damage?
- the doctor didn't see anything wrong but I am still worried
- Any thoughts would be appreciated",1,"Nỗi lo âu của người viết bắt nguồn từ sự không chắc chắn (uncertainty) về tổn thương tiềm ẩn. Dù có chẩn đoán bình thường từ bác sĩ, họ vẫn bị bủa vây bởi các giả định tiêu cực và hoài nghi, dẫn đến hành vi tìm kiếm sự trấn an và hỗ trợ từ cộng đồng."
